command,mean,stddev,median,user,system,min,max,parameter_lib,parameter_n_row
./tests/pandas/join.py data/1000_100.csv,0.52291811576,0.01623055919513002,0.5201035700600001,0.8236814000000001,0.6214427200000001,0.49683369856000004,0.55297635456,pandas,1000
./tests/pandas/join.py data/10000_100.csv,0.51398749856,0.010568863287470386,0.51089715556,0.8399523999999999,0.62745692,0.5013576495600001,0.5380032945600001,pandas,10000
./tests/pandas/join.py data/100000_100.csv,0.5292092445600001,0.058759863502946236,0.50534595406,0.8288426,0.6004406199999999,0.49412527656000005,0.6880792745600001,pandas,100000
./tests/pandas/join.py data/1000000_100.csv,0.50195261366,0.006234677815446108,0.50252849606,0.8493833000000001,0.6162374199999999,0.48981573556,0.5109794695600001,pandas,1000000
./tests/pandas/join.py data/10000000_100.csv,0.5331876227600001,0.015399817657032463,0.5362801075600001,0.8704335999999999,0.61617682,0.51185055256,0.55404674056,pandas,10000000
./tests/polars/join.py data/1000_100.csv,0.12189747722666666,0.010170272672022937,0.11915467156000001,0.10065089166666664,0.021059711666666665,0.11244917656,0.15321328956,polars,1000
./tests/polars/join.py data/10000_100.csv,0.11974962671999999,0.006918505375712996,0.11827338756,0.09755644000000001,0.022051120000000007,0.11365976956,0.14583011256,polars,10000
./tests/polars/join.py data/100000_100.csv,0.11997547708000003,0.008007766975918314,0.11852365156,0.09967851999999996,0.02018104,0.11209528056000001,0.15308355756,polars,100000
./tests/polars/join.py data/1000000_100.csv,0.11998569112,0.005887836000418526,0.11913318056000001,0.09846479999999998,0.021298119999999997,0.11339883956,0.13674235456,polars,1000000
./tests/polars/join.py data/10000000_100.csv,0.12259271647666668,0.00794026185702628,0.12041609156,0.09882447499999997,0.023636545000000005,0.11499854956000001,0.14370206056,polars,10000000
./tests/noir/join.py data/1000_100.csv,0.03274508146476191,0.003265690692528592,0.032530153560000004,0.024775814285714282,0.007822389047619047,0.02784543256,0.049604336560000004,noir,1000
./tests/noir/join.py data/10000_100.csv,0.03221247591632184,0.0020371669981749637,0.032318961560000005,0.024443933333333338,0.007729682298850572,0.02777505656,0.038194865560000006,noir,10000
./tests/noir/join.py data/100000_100.csv,0.03549664159370787,0.00408392919833286,0.03490826256000001,0.027424105617977524,0.007940598651685393,0.02826865856,0.05320719656000001,noir,100000
./tests/noir/join.py data/1000000_100.csv,0.03331992215999999,0.0030006978859942034,0.03272626356,0.024764413333333336,0.008510126400000003,0.02826679756,0.04629753256000001,noir,1000000
./tests/noir/join.py data/10000000_100.csv,0.032567622422068954,0.0032613650621006367,0.03230023156,0.025082059770114948,0.007455704367816095,0.02777172256,0.053938881560000006,noir,10000000
